classes,class_desc
AudioRecordingConfiguration,"The AudioRecordingConfiguration class collects the information describing an audio recording
 session."
AudioRouting,"AudioRouting defines an interface for controlling routing and routing notifications in
 AudioTrack and AudioRecord objects."
AudioRouting.OnRoutingChangedListener,"Defines the interface by which applications can receive notifications of routing
 changes for the associated AudioRouting."
AudioStream,"An AudioStream is a RtpStream which carrys audio payloads over
 Real-time Transport Protocol (RTP)."
AudioTimestamp,"Structure that groups a position in frame units relative to an assumed audio stream,
 together with the estimated time when that frame enters or leaves the audio
 processing pipeline on that device."
AudioTrack,The AudioTrack class manages and plays a single audio resource for Java applications.
AudioTrack.Builder,Builder class for AudioTrack objects.
AudioTrack.MetricsConstants,
AudioTrack.OnPlaybackPositionUpdateListener,"Interface definition for a callback to be invoked when the playback head position of
 an AudioTrack has reached a notification marker or has increased by a certain period."
AudioTrack.OnRoutingChangedListener,"This interface was deprecated
      in API level 24.
    users should switch to the general purpose
             AudioRouting.OnRoutingChangedListener class instead."
AuthenticationRequiredException,"Specialization of SecurityException that is thrown when authentication is needed from the
 end user before viewing the content."
Authenticator,"The class Authenticator represents an object that knows how to obtain
 authentication for a network connection."
Authenticator.RequestorType,The type of the entity requesting authentication.
AuthenticatorDescription,A Parcelable value type that contains information about an account authenticator.
AuthenticatorException,
AuthPermission,Legacy security code; do not use.
AuthProvider,Legacy security code; do not use.
AutoCloseable,"An object that may hold resources (such as file or socket handles)
 until it is closed."
AutoCompleteTextView,"An editable text view that shows completion suggestions automatically
 while the user is typing."
AutoCompleteTextView.OnDismissListener,Listener to respond to the AutoCompleteTextView's completion list being dismissed.
AutoCompleteTextView.Validator,"This interface is used to make sure that the text entered in this TextView complies to
 a certain format."
AutofillId,A unique identifier for an autofill node inside an Activity.
AutofillManager,"The AutofillManager class provides ways for apps and custom views to
 integrate with the Autofill Framework lifecycle."
AutofillManager.AutofillCallback,Callback for autofill related events.
AutofillService,"An AutofillService is a service used to automatically fill the contents of the screen
 on behalf of a given user - for more information about autofill, read
 Autofill Framework."
AutofillValue,"Abstracts how a View can be autofilled by an
 AutofillService."
AutomaticGainControl,Automatic Gain Control (AGC).
AutomaticZenRule,Rule instance information for zen mode.
AutoText,This class accesses a dictionary of corrections to frequent misspellings.
AutoTransition,"Utility class for creating a default transition that automatically fades,
 moves, and resizes views during a scene change."
BackgroundColorSpan,Changes the background color of the text to which the span is attached.
BackingStoreException,"Thrown to indicate that a preferences operation could not complete because
 of a failure in the backing store, or a failure to contact the backing
 store."
BackupAgent,"Provides the central interface between an
 application and Android's data backup infrastructure."
BackupAgentHelper,"A convenient BackupAgent wrapper class that automatically manages
 heterogeneous data sets within the backup data, each identified by a unique
 key prefix."
BackupDataInput,"Provides the structured interface through which a BackupAgent reads
 information from the backup data set, via its
 onRestore()
 method."
BackupDataInputStream,"Provides an InputStream-like interface for accessing an
 entity's data during a restore operation."
BackupDataOutput,"Provides the structured interface through which a BackupAgent commits
 information to the backup data set, via its onBackup() method."
BackupHelper,"Defines the calling interface that BackupAgentHelper uses
 when dispatching backup and restore operations to the installed helpers."
BackupManager,"The interface through which an application interacts with the Android backup service to
 request backup and restore operations."
BadPaddingException,"This exception is thrown when a particular padding mechanism is
 expected for the input data but the data is not padded properly."
BadParcelableException,Exception thrown when a Parcelable is malformed or otherwise invalid.
Base64,"Utilities for encoding and decoding the Base64 representation of
 binary data."
Base64,"This class consists exclusively of static methods for obtaining
 encoders and decoders for the Base64 encoding scheme."
Base64.Decoder,"This class implements a decoder for decoding byte data using the
 Base64 encoding scheme as specified in RFC 4648 and RFC 2045."
Base64.Encoder,"This class implements an encoder for encoding byte data using
 the Base64 encoding scheme as specified in RFC 4648 and RFC 2045."
Base64DataException,"This exception is thrown by Base64InputStream or Base64OutputStream
 when an error is detected in the data being decoded."
Base64InputStream,"An InputStream that does Base64 decoding on the data read through
 it."
Base64OutputStream,"An OutputStream that does Base64 encoding on the data written to
 it, writing the resulting data to another OutputStream."
BaseAdapter,"Common base class of common implementation for an Adapter that can be
 used in both ListView (by implementing the specialized
 ListAdapter interface) and Spinner (by implementing the
 specialized SpinnerAdapter interface)."
